FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb8,Kara,Kéran,Kéran 1,Kantè,Kante,Lycée d'Enseignement Technique et Professionnel de Kante,"LETP, Kande","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2007,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.0290264368254176 9.967621021792477)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb7,Kara,Doufelgou,Doufelgou 1,Niamtougou,N/a,ONG Kipuke Outreach,"Kipuke Outreach, Niamtougou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Foncier National - terre de l'etat Non allouee,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Non,POINT (1.116485673650022 9.756219444636333)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb6,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Amedeka,Institut Technique Jean Jacques Rousseau,"Institut Technique Jean Jacques Rousseau, Elevagnon","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.2893066666666664 7.96092)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb5,Kara,Doufelgou,Doufelgou 1,Koka,Niamtougou,Institut de Formation Agricole d'Economie Familiale et d'Administration Basante,"IFAEFA-Basante, Niamtougou","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Non,POINT (1.118656666666667 9.790023333333332)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb4,Kara,Kozah,Kozah 1,Commune De Kara,Kara,Centre de Formation d'Informatique et Bureautique de Kara (CFIB Kara),"Cfib Kara, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Nsp,{autre},Formation Professionnelle autre,Nsp,Non,POINT (1.1911212640946627 9.544051497691111)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb3,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,Institut de Formation Technique Tertiaire de Kara,BP 484,"{Lundi,Mardi,Mercredi,Vendredi,jeudi}",1999,Prive - individuel,"{En construction,Construit et Utilise}",Formation Professionnelle autre,{WCs},Non,POINT (1.1956358069711013 9.55257106300331)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb2,Kara,Kozah,Kozah 1,Commune De Kara,Ewaou,Complexe Scolaire Lumiere-V Kara,"Cs Lumiere-V Kara, Lama","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",2010,Prive - individuel,"{Construit et Utilise,Inacheve,En construction}",Formation Professionnelle autre,{Latrines seches},Non,POINT (1.1961248986287862 9.544298090959964)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb1,Kara,Kozah,Kozah 2,Bohou,Feilga,CFTO Yade,BP 185 Yade,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2017,Prive - individuel,{Construit et Utilise},CAP,{Douches},Non,POINT (1.1549821567486453 9.613213162703998)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fb0,Kara,Kozah,Kozah 1,Commune De Kara,Lama-feing,Centre de Formation de Couture La Lumiere (CFCL),"Centre de Formation de Couture la Lumiere, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2014,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.214550484264275 9.559951418422083)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7faf,Kara,Kozah,Kozah 1,Commune De Kara,Bastascom,Institut des Sciences Technologiques et des Arts de Kara,BP 638,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1890556532115846 9.544253925175838)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fae,Kara,Kozah,Kozah 3,Awandjélo,Awandjelo,Centre de Formation Technique et Professionnelle Sweet Awandjelo,"Cftp Sweet Awandjelo, Awandjelo","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,{Latrines a eau},Oui,POINT (1.202526434266342 9.467403478430134)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fad,Kara,Kozah,Kozah 3,Awandjélo,Kpankpanzibiyo,Centre Artisanal et d'Insertion Sociale de Kapnkpanzibiyo (CAIS),"Cais Kpankpanzibiyo, Awandjelo","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - Collectivite coutumiere,{Construit et Utilise},Formation Professionnelle autre,"{Douches,Latrines seches}",Non,POINT (1.168760430058154 9.40683459331491)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fac,Kara,Kozah,Kozah 1,Commune De Kara,Kplewai,Centre de Formation Technique et Professionnelle Don Bosco Kara,"Cfpt Don Bosco Kara, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1985,Prive - Collectivite coutumiere,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Oui,POINT (1.1869531425711541 9.531952375153473)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fab,Kara,Binah,Binah 2,Kétao,Ewayio,Institut Polytechnique d'Excellence de Ketao (IPEX),"Ipex Ketao, Ketao","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2016,autre,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (1.3088956973877195 9.65091364749899)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7faa,Kara,Kozah,Kozah 1,Commune De Kara,Tomde,institut Polytechnique Ricardo,BP 733,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1999,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Pissotieres},Non,POINT (1.2051323672812764 9.552231562674294)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa9,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,Institut des Sciences Commerciales l'Excellence Kara,"Isce Kara, Lama","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2003,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1757921513371885 9.54474150172921)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa8,Kara,Kozah,Kozah 1,Commune De Kara,Lama-feing,CME Kara Sos,BP 13 Kara Togo,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (1.210148438796036 9.570419849965026)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa7,Kara,Kozah,Kozah 1,Commune De Kara,Kara Ewaou,Centre de Formation Professionnelle Foyer Saint Jean 23,BP 214 Kara,"{Mardi,Mercredi,jeudi,Vendredi}",1985,autre,{Construit et Utilise},CAP,{Latrines a eau},Non,POINT (1.1900536607135186 9.545254469599852)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa6,Maritime,Lacs,Lacs 1,Glidji,Chez Nous,Lycée d'Enseignement Technique et Professionnel d'Aneho Glidji,BP 48,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2013,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.6064472289727536 6.256737084323548)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa5,Maritime,Zio,Zio 3,Gamé-Sèva,Game Seva,Centre de Formation Technique et Professionnelle de Game,"Cftp Game, Game","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1786017671799758 6.743802780469691)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa4,Maritime,Avé,Avé 1,Kévé,Latin,Centre de Formation Technique et Professionnelle de Keve,"Centre de Formation Technique et Professionnelle de, Keve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.9237127074106517 6.433572589256072)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa3,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpegolonou,Institut de Formation Technique et Professionnelle Topo 3000 CFA,Kpegolonou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Nsp,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (0.6225276583912328 6.91822730105098)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa2,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,Landa,Institut de Formation en Alternance pour le Développement (IFAD) - Aquaculture,225 BP 06,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2019,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.2616066666666663 7.952213333333335)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa1,Plateaux,Moyen-Mono,Moyen-Mono 2,Kpékplémé,N'tigome,Complexe Polytechnique Laique Ruzi Cnadb Lycée,"Complexe Polytechnique Laique Ruzi Cnadb Lycee, Kpekpleme","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.6246383578032877 7.32545956264552)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7fa0,Plateaux,Wawa,Wawa 1,Badou,Badou,Centre de Formation Technique et Professionnelle de Badou,"Cftp-Badou, Badou","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2020,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},CAP,Nsp,Non,POINT (0.6043022559427571 7.58497871097057)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9f,Plateaux,Kloto,Kloto 1,Gbalabé,Apedogame,Centre Diocésain de Formation Professionnelle Gbalave,BP 260 Kpalimé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,Prive - entreprise,{Construit et Utilise},CAP,{WCs},Non,POINT (0.602306666666666 6.867039999999999)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9e,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Atelier Bon Conseil Nouveau,"Atelier Bon Conseil Nouveau, Kpalime","{Lundi,Mercredi,Mardi,jeudi,Vendredi}",1980,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines seches}",Non,POINT (0.6239819267103015 6.921050958647106)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9d,Plateaux,Agou,Agou 1,Agou-Tavié,Agou Tomegbe,Lycée d'Enseignement Technique et Professionnel 'Agou,"LETP Agou, Agou Tavie","{Lundi,Mardi,Mercredi,Vendredi}",2020,Domaine public de l'etat ou des collectivites territoriales,"{Construit et Utilise,En construction}",Formation Professionnelle autre,{Latrines a eau},Non,POINT (0.7342911970278674 6.85011399948357)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9c,Plateaux,Ogou,Ogou 1,Gnagna,N Gnekonakpoe,Lycée d'Enseignement Technique et Professionnel d'Atakpame,BP 403,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",1994,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.1398453222156861 7.523619598870092)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9b,Plateaux,Ogou,Ogou 1,Djama,Kossi Kope,Centre de Formation pour l'Insertion Professionnelle Ben At (CEFORIP-Atakpame),BP 346,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (1.1632688383222505 7.514380785167405)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f9a,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Institut Polytechnique Dalloz,"Institut Polytechnique Dalloz, Kpalime","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,"{Douches,WCs}",Non,POINT (0.6266791166861259 6.919262965730031)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f99,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,Adeta,Institut Technique Divine Grace,"Institut Technique Divine Grace, Novive","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (0.7291706931633143 7.12051950203252)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f98,Plateaux,Anié,Anié 1,Anié,Boulali,Lycée Technique Federico Mayor,"Itp Federico Mayor, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Prive - individuel,"{Construit et Utilise,En construction}",Formation Professionnelle autre,Nsp,Non,POINT (1.194798335512754 7.759245316278804)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f97,Plateaux,Haho,Haho 3,Kpédomé,Kpedome,Institut Technique et Professionnel les Batisseurs,"IFT Les Batisseurs, Kpedome","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.1713723455893876 6.969558351634995)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f96,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpegolonou,Institut de Formation Technique et Professionnelle Topo 3000,Kpegolonou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Nsp,{Construit et Utilise},Formation Professionnelle autre,"{Douches,WCs}",Non,POINT (0.6225685467910442 6.918213906319831)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f95,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpegolonou,Institut de Formation Technique et Professionnelle Togo 3000 Bt,Kpegolonou,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2014,Nsp,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (0.6225092358775085 6.91825718687608)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f94,Plateaux,Ogou,Ogou 1,Djama,Campement,Institut Technique Sacre Coeur de Jesus,BP 156 Atakpamé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1998,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Oui,POINT (1.1489367134603752 7.5271678966923545)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f93,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime Kunsutu,Collège d'Enseignement Artistique et Artisanal de Kpalime,BP 93,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1968,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (0.6183043600070872 6.923653946982775)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f92,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Institut Technique et Profesnionnel Larousse,"Itp Larousse, Kpalime","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1995,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (0.6335152814743382 6.920546756032542)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f91,Plateaux,Anié,Anié 1,Anié,Anie,Centre de Formation Technique et Professionnel Anie,70359910,"{""jeudi"",""Lundi"",""Mardi"",""Mercredi"",""Vendredi""}",2017,Domaine public de l'Etat ou des collectivites territoriales,"{""En construction""}",Formation profesionnelle autre,N/a,Non,POINT (1.1985778042113462 7.764290316170254)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f90,Plateaux,Anié,Anié 1,Anié,Anie Kpassa Cope,Compexte Technique d'Excellence d'Anie,"Cte Anie, Anie","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2011,Prive - individuel,{Inacheve},CAP,Nsp,Non,POINT (1.1940434007752365 7.788830958247869)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8f,Plateaux,Haho,Haho 1,Notsé,Tegbe,Complexe Scolaire Itecso,BP 22,"{Lundi,Mardi,Vendredi,jeudi,Mercredi}",2001,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1683768584849372 6.955444030370272)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8e,Plateaux,Anié,Anié 2,Adogbénou,Oke Adogbenou,Centre de Formation Profesionnelle ONG Acatbli,BP 72 Atakpamé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,autre,{Construit et Utilise},Formation Professionnelle autre,"{Latrines a eau,Douches}",Non,POINT (1.4380530258775246 7.73814211386547)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8d,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime Nyiveme,Centre Aklala Batik,"Centre Aklala Batik, Kpalime","{Vendredi,jeudi,Mercredi,Mardi,Lundi}",Nsp,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Non,POINT (0.6257549999999996 6.928325)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8c,Savanes,Oti,Oti 1,Mango,Djabou,Lycée d'Enseignement Technique et Professionnel de Mango,BP 95,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1997,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines seches},Non,POINT (0.4747034446313269 10.368892798699969)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8b,Savanes,Oti-Sud,Oti-Sud 1,Gando,Namoni,Centre de Formation Technique et Professionnelle de Gando,"Centre de Formation Technique et Professionnel de Gando, Gando","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2012,Domaine public de l'etat ou des collectivites territoriales,"{En construction,Construit et Utilise}",CAP,{WCs},Non,POINT (0.7589312136892714 10.320458900856325)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f8a,Savanes,Tône,Tône 1,Dapaong,Worgou,Centre Regional d'Enseignement Technique et de Fomation Professionnelle de Dapaong,500 BP 22,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",1958,Domaine public de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Oui,POINT (0.1968982637950383 10.83921366260353)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f89,Savanes,Oti,Oti 2,Galangashie,Kpandjini,Institut de Formation en Alterance Pour Le developpement de Barkoissi,"Institut de Formation en Alterance pour le developpement de Barkoissi, Barkoissi","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Nsp,Nsp,Nsp,Nsp,Nsp,POINT (0.3155236218587007 10.530007832010774)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943cbfe119_-7f88,Kara,Kozah,Kozah 2,Tchitchao,TCHITCHAO,College Militaire Eyadema - Branche Technique,26 61 11 34,Nsp,1979,N/a,N/a,N/a,N/a,N/a,POINT (1.1128483333333332 9.619323333333334)
