FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,activite_statut,etablissement_categorie,toilette_type,terrain_sport,geometry
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb1,Maritime,Agoè-Nyivé,Agoè-Nyivé 2,Légbassito,Legbassito,Institut Technique Privé Génération Obama,BP 8520,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1566261457757354 6.267400621397014)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb2,Plateaux,Kloto,Kloto 1,Agome-Kpalime,Kpalime,Institut Technique Saint Esprit de Kpalime,BP 30,"{Vendredi,jeudi,Mercredi,Mardi,Lundi}",2004,Prive - entreprise,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (0.629019535343244 6.9066277595523875)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb3,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,N/a,Jardin technique,Nsp,Nsp,Nsp,Nsp,Nsp,Nsp,N/a,Non,POINT (1.187893333333333 6.210043333333335)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb4,Maritime,Golfe,Golfe 1,Bè-Est,Zone Portuaire,Lycée des Métiers du Bâtiment et de l'Industrie,BP 9060 09 - Lomé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Domaine prive de l'etat ou des collectivites territoriales,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Latrines a eau}",Non,POINT (1.2959488276911482 6.1601398741989835)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb5,Maritime,Agoè-Nyivé,Agoè-Nyivé 4,Togblekope,Ahonkpe,Lycée Technique Privé Lidao,"LET Lidao, Legbassito","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2015,Prive - individuel,{En construction},Formation Professionnelle autre,{autre},Non,POINT (1.1732609166750334 6.266871110971907)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb6,Maritime,Golfe,Golfe 6,Baguida,Baguida,Observatoire Panafricain Pour L'Ecole et Les Metier,12 BP 305,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2017,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.3322273573505454 6.170746437956156)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb7,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah,Institut Technique et Commercial Assomption,BP 69,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1970,Nsp,{Construit et Utilise},Formation Professionnelle autre,{WCs},Oui,POINT (1.1468352922079175 8.967205397863369)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb8,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Didaore,Institut Polytechnique la Dynamique,BP 03 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{En construction},Formation Professionnelle autre,Nsp,Non,POINT (1.1471349999999998 8.980603333333335)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fb9,Centrale,Tchaoudjo,Tchaoudjo 1,Kpangalam,Lomnava,Centre d'Information et d'Orientation Professionnelle de Sokode (CIFOP-Sokode),"Cifop Sokode, Sokode","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2011,autre,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.1192868316870201 9.009573965666993)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fba,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Komah,Centre d'Enseignement Technique et Professionnel de Sokode,BP 339,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2001,Prive - individuel,{Construit et Utilise},CAP,Nsp,Non,POINT (1.1445599999999996 8.970838333333338)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fbb,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Institut Polytechnique Mandela,BP 331 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.1316620082651503 8.98707926173109)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fbc,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Quartier Administratifs,Mediatheque de Sokode,BP 484 Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi}",2006,Prive - individuel,{Construit et Utilise},BTS,{Latrines a eau},Non,POINT (1.1387333333333336 8.981995000000001)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fbd,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Assiyeye,Institut Technique d'Enseignement Commercial Kouvahey - Agoe (ITEC-K Agoe),BP 13514,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2002,Nsp,{Construit et Utilise},Formation Professionnelle autre,{Latrines a eau},Non,POINT (1.19967990537648 6.233929347883608)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fbe,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Tchawanda,Institut Polytechnique Pythagore,300 BP 32 - Sokodé,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2010,Prive - individuel,{En construction},Formation Professionnelle autre,{WCs},Non,POINT (1.1282746761518994 8.989769448238212)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fbf,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,N/a,Institut Technique mon Parcours,"Institut Technique Mon Parcours, Agoe Nyive 6","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2021,Prive - individuel,{Inacheve},Formation Professionnelle autre,{WCs},Oui,POINT (1.2314571805477887 6.305637730478873)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc0,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),Bariki,Lycée d'Enseignement Technique et Professionnel de Sokode,BP 56,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",1922,Foncier National - terre de l'etat Non allouee,{Construit et Utilise},Formation Professionnelle autre,"{WCs,Douches}",Oui,POINT (1.1330612492185734 8.975389466467744)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc1,Centrale,Tchaoudjo,Tchaoudjo 2,Lama-Tessi,Tare,Maison Familliala de Formation Rurale de Lama Tessi,BP 268,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,Prive - Collectivite coutumiere,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (1.0724123203117628 8.849648309984342)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc2,Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,Kossigan,Institut Technique le Brillant,"Institut Technique le Brillant, Agoe Nyve","{Lundi,Mardi,Mercredi,jeudi,Vendredi}",Nsp,Nsp,{Construit et Utilise},Formation Professionnelle autre,Nsp,Non,POINT (1.1869537006709552 6.233618423376539)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc3,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Laouwai,Institut Polytechnique Techno Plus,320 BP 32 - Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2004,Prive - individuel,{Construit et Utilise},Formation Professionnelle autre,{WCs},Non,POINT (0.9833948115332448 8.566553217453633)
_mview_formationtech_etablissements_formation_technique.fid-7b1c8a4a_1943c5e84ca_7fc4,Centrale,Sotouboua,Sotouboua 1,Sotouboua,Sotouboua,Centre d'Enseignement Technique (CET) Perfect,BP 12 Sotouboua,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2009,autre,{Construit et Utilise},CAP,"{WCs,Douches}",Oui,POINT (0.9893207951227089 8.57876403423633)
